วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ(mil),% เปลี่ยนแปลง
1/3/2566,940.4,969.37,973.25,906.76,1720,-2.61%
1/2/2566,965.56,996.56,1007.11,964.1,1160,-2.76%
1/1/2566,992.95,1009.84,1020.39,992.13,27390,-1.22%
1/12/2565,1005.24,996.86,1014.08,968.38,20850,1.15%
1/11/2565,993.78,983,1003.34,976.28,25220,1.46%
1/10/2565,979.45,952.76,985.18,931.66,24920,2.62%
1/9/2565,954.44,993.51,1005.46,952.51,30040,-4.20%
1/8/2565,996.33,962.56,998.54,958.52,32110,3.92%
1/7/2565,958.73,953.74,960.27,929.92,24850,0.81%
1/6/2565,951.07,1000.98,1004.63,936.57,32070,-5.11%
1/5/2565,1002.24,983.39,1002.27,945.9,29980,1.90%
1/4/2565,983.56,1018.2,1027.07,974.86,23120,-3.54%
1/3/2565,1019.67,1022.53,1034.67,958.08,43800,0.30%
1/2/2565,1016.58,1000.29,1041.37,995.05,44670,2.34%
1/1/2565,993.29,995.8,1004.26,975.62,39180,0.26%
1/12/2564,990.75,940.99,993.53,931.04,28920,5.95%
1/11/2564,935.08,978.17,994.89,933.35,46630,-4.06%
1/10/2564,974.67,960.35,995.31,956.65,34910,1.07%
1/9/2564,964.35,994.57,1005.67,953.4,35930,-2.80%
1/8/2564,992.13,912.78,995.78,903.57,29200,8.95%
1/7/2564,910.61,955.95,960.45,908.2,28690,-4.52%
1/6/2564,953.72,968.66,995.06,943.86,29630,-0.92%
1/5/2564,962.58,953.45,965.58,912.03,25890,0.69%
1/4/2564,955.97,975.6,983.18,935.96,25520,-1.57%
1/3/2564,971.24,928.25,985.45,924.02,42380,4.44%
1/2/2564,929.95,914.83,958.2,908.04,30780,1.45%
1/1/2564,916.66,896.7,992.03,893.62,43540,0.68%
1/12/2563,910.45,915.65,968.93,881.64,81440,0.20%
1/11/2563,908.61,747.17,938.34,743.57,59890,21.76%
1/10/2563,746.26,786.49,810.61,739.95,23240,-4.46%
1/9/2563,781.06,846.41,851.65,780.61,18970,-7.48%
1/8/2563,844.22,858.84,880.89,838.1,24850,-2.17%
1/7/2563,862.98,889.71,922.66,844.39,26070,-2.50%
1/6/2563,885.15,905.1,979.98,861.47,44780,-1.21%
1/5/2563,896.01,862.83,904.63,838.04,37630,2.57%
1/4/2563,873.56,749.55,873.56,740.29,44730,15.41%
1/3/2563,756.91,911.75,948.74,628.97,50360,-15.70%
1/2/2563,897.84,1013.1,1038.72,894.31,28480,-11.81%
1/1/2563,1018.08,1072.36,1086.71,1011.96,33050,-4.72%
1/12/2562,1068.5,1068.96,1077.51,1041.28,25510,-0.16%
1/11/2562,1070.23,1072.65,1107.13,1062.23,31260,-0.28%
1/10/2562,1073.26,1090.54,1096.38,1057.94,24550,-1.56%
1/9/2562,1090.31,1092.95,1118.99,1077.05,27680,-0.56%
1/8/2562,1096.47,1126.28,1128.7,1046.62,29790,-3.05%
1/7/2562,1130.92,1162.32,1164.72,1123.89,27510,-1.73%
1/6/2562,1150.85,1078.64,1155.69,1076.83,26130,7.07%
1/5/2562,1074.87,1115.35,1119.2,1061.58,24780,-3.37%
1/4/2562,1112.39,1095.81,1121.14,1090.64,17710,1.97%
1/3/2562,1090.94,1100.9,1102.15,1070.63,19660,-0.76%
1/2/2562,1099.3,1098.26,1117.58,1086.88,19310,0.26%
1/1/2562,1096.5,1048.13,1102.66,1034.66,25510,4.94%
1/12/2561,1044.92,1108.31,1122.34,1031.45,16780,-4.27%
1/11/2561,1091.55,1104.04,1118.18,1061.59,18180,-0.99%
1/10/2561,1102.49,1163.05,1164.92,1048.41,22970,-4.86%
1/9/2561,1158.75,1138.38,1166.78,1090.92,28740,1.75%
1/8/2561,1138.8,1129.93,1147.45,1098.99,28080,1.00%
1/7/2561,1127.56,1053.26,1132.39,1043.67,33320,7.22%
1/6/2561,1051.63,1134.55,1152.4,1043.32,29540,-7.33%
1/5/2561,1134.76,1174.72,1191.14,1122.97,32980,-3.59%
1/4/2561,1177.02,1170.17,1198.48,1136.17,25180,0.45%
1/3/2561,1171.79,1197.88,1201.62,1155.88,30930,-2.80%
1/2/2561,1205.57,1191.58,1223.67,1140.37,29700,1.64%
1/1/2561,1186.16,1139.7,1202.06,1138.2,36170,4.49%
